additional_requirements,busy_type,languageKnowledge,education,education_speciality,hardSkills,softSkills,position_requirements,position_responsibilities,regionName,required_drive_license,salary,salary_min,salary_max,schedule_type,vacancy_name,professionalSphereName
"<br/><p>МК и ЖБК</p><b>Условия:</b><ul><li><p>Оформление по ТК РФ (трудовой договор получаете на руки в офисе), отчисления в ПФР.<br /> Выплата больничных и отпускных.<br />  Честная зарплата без скрытых вычетов.<br />  Прямой работодатель.<br />  Принимаем без опыта работы.<br />  Проводим бесплатное обучение.<br /><br />  Каждому сотруднику бесплатно предоставляется:<br /> • Организованный проезд от дома до объекта и обратно;<br /> • Медицинский осмотр;<br /> • Спецодежда и обувь на весь период работы;<br /> • Средства индивидуальной защиты;<br /> • Проживание в общежитии;<br /> • Организованное питание;<br /> • Инструмент для выполнения прямых рабочих обязанностей;<br /> • Гарантируемые авансы каждые 2 недели.<br /> Срок вахты - 60 дней, 11-часовой рабочий день, скользящий выходной по графику, межвахтовый отпуск до 30 дней.<br /><br /> Звоните! У нас всегда есть вакансии для Вас!</p></li></ul>",Полная занятость,,Не указано,,,,<li>Желателен опыт работы<br /></li>,"<li><p>Монтажные работы.  Вязка арматуры,  бетонные работы.<br /></p></li>",Челябинская область,,от 50000,50000.0,60000.0,Вахтовый метод,Монтажник,Производство
"<br/><p>МК и ЖБК</p><b>Условия:</b><ul><li><p>Оформление по ТК РФ (трудовой договор получаете на руки в офисе), отчисления в ПФР.<br /> Выплата больничных и отпускных.<br />  Честная зарплата без скрытых вычетов.<br />  Прямой работодатель.<br />  Принимаем без опыта работы.<br />  Проводим бесплатное обучение.<br /><br />  Каждому сотруднику бесплатно предоставляется:<br /> • Организованный проезд от дома до объекта и обратно;<br /> • Медицинский осмотр;<br /> • Спецодежда и обувь на весь период работы;<br /> • Средства индивидуальной защиты;<br /> • Проживание в общежитии;<br /> • Организованное питание;<br /> • Инструмент для выполнения прямых рабочих обязанностей;<br /> • Гарантируемые авансы каждые 2 недели.<br /> Срок вахты - 60 дней, 11-часовой рабочий день, скользящий выходной по графику, межвахтовый отпуск до 30 дней.<br /><br /> Звоните! У нас всегда есть вакансии для Вас!</p></li></ul>",Полная занятость,,Не указано,,,,<li>Желателен опыт работы<br /></li>,"<li><p>Монтажные работы.  Вязка арматуры,  бетонные работы.<br /></p></li>",Челябинская область,,от 50000,50000.0,60000.0,Вахтовый метод,Монтажник,Производство
"<br/><p>МК и ЖБК</p><b>Условия:</b><ul><li><p>Оформление по ТК РФ (трудовой договор получаете на руки в офисе), отчисления в ПФР.<br /> Выплата больничных и отпускных.<br />  Честная зарплата без скрытых вычетов.<br />  Прямой работодатель.<br />  Принимаем без опыта работы.<br />  Проводим бесплатное обучение.<br /><br />  Каждому сотруднику бесплатно предоставляется:<br /> • Организованный проезд от дома до объекта и обратно;<br /> • Медицинский осмотр;<br /> • Спецодежда и обувь на весь период работы;<br /> • Средства индивидуальной защиты;<br /> • Проживание в общежитии;<br /> • Организованное питание;<br /> • Инструмент для выполнения прямых рабочих обязанностей;<br /> • Гарантируемые авансы каждые 2 недели.<br /> Срок вахты - 60 дней, 11-часовой рабочий день, скользящий выходной по графику, межвахтовый отпуск до 30 дней.<br /><br /> Звоните! У нас всегда есть вакансии для Вас!</p></li></ul>",Полная занятость,,Не указано,,,,<li>Желателен опыт работы<br /></li>,"<li><p>Монтажные работы.  Вязка арматуры,  бетонные работы.<br /></p></li>",Челябинская область,,от 50000,50000.0,60000.0,Вахтовый метод,Монтажник,Производство
"<br/><p>МК и ЖБК</p><b>Условия:</b><ul><li><p>Оформление по ТК РФ (трудовой договор получаете на руки в офисе), отчисления в ПФР.<br /> Выплата больничных и отпускных.<br />  Честная зарплата без скрытых вычетов.<br />  Прямой работодатель.<br />  Принимаем без опыта работы.<br />  Проводим бесплатное обучение.<br /><br />  Каждому сотруднику бесплатно предоставляется:<br /> • Организованный проезд от дома до объекта и обратно;<br /> • Медицинский осмотр;<br /> • Спецодежда и обувь на весь период работы;<br /> • Средства индивидуальной защиты;<br /> • Проживание в общежитии;<br /> • Организованное питание;<br /> • Инструмент для выполнения прямых рабочих обязанностей;<br /> • Гарантируемые авансы каждые 2 недели.<br /> Срок вахты - 60 дней, 11-часовой рабочий день, скользящий выходной по графику, межвахтовый отпуск до 30 дней.<br /><br /> Звоните! У нас всегда есть вакансии для Вас!</p></li></ul>",Полная занятость,,Не указано,,,,<li>Желателен опыт работы<br /></li>,"<li><p>Монтажные работы.  Вязка арматуры,  бетонные работы.<br /></p></li>",Челябинская область,,от 50000,50000.0,60000.0,Вахтовый метод,Монтажник,Производство
"<br/><p>МК и ЖБК</p><b>Условия:</b><ul><li><p>Оформление по ТК РФ (трудовой договор получаете на руки в офисе), отчисления в ПФР.<br /> Выплата больничных и отпускных.<br />  Честная зарплата без скрытых вычетов.<br />  Прямой работодатель.<br />  Принимаем без опыта работы.<br />  Проводим бесплатное обучение.<br /><br />  Каждому сотруднику бесплатно предоставляется:<br /> • Организованный проезд от дома до объекта и обратно;<br /> • Медицинский осмотр;<br /> • Спецодежда и обувь на весь период работы;<br /> • Средства индивидуальной защиты;<br /> • Проживание в общежитии;<br /> • Организованное питание;<br /> • Инструмент для выполнения прямых рабочих обязанностей;<br /> • Гарантируемые авансы каждые 2 недели.<br /> Срок вахты - 60 дней, 11-часовой рабочий день, скользящий выходной по графику, межвахтовый отпуск до 30 дней.<br /><br /> Звоните! У нас всегда есть вакансии для Вас!</p></li></ul>",Полная занятость,,Не указано,,,,<li>Желателен опыт работы<br /></li>,"<li><p>Монтажные работы.  Вязка арматуры,  бетонные работы.<br /></p></li>",Челябинская область,,от 50000,50000.0,60000.0,Вахтовый метод,Монтажник,Производство
"<br/><p>МК и ЖБК</p><b>Условия:</b><ul><li><p>Оформление по ТК РФ (трудовой договор получаете на руки в офисе), отчисления в ПФР.<br /> Выплата больничных и отпускных.<br />  Честная зарплата без скрытых вычетов.<br />  Прямой работодатель.<br />  Принимаем без опыта работы.<br />  Проводим бесплатное обучение.<br /><br />  Каждому сотруднику бесплатно предоставляется:<br /> • Организованный проезд от дома до объекта и обратно;<br /> • Медицинский осмотр;<br /> • Спецодежда и обувь на весь период работы;<br /> • Средства индивидуальной защиты;<br /> • Проживание в общежитии;<br /> • Организованное питание;<br /> • Инструмент для выполнения прямых рабочих обязанностей;<br /> • Гарантируемые авансы каждые 2 недели.<br /> Срок вахты - 60 дней, 11-часовой рабочий день, скользящий выходной по графику, межвахтовый отпуск до 30 дней.<br /><br /> Звоните! У нас всегда есть вакансии для Вас!</p></li></ul>",Полная занятость,,Не указано,,,,<li>Желателен опыт работы<br /></li>,"<li><p>Монтажные работы.  Вязка арматуры,  бетонные работы.<br /></p></li>",Челябинская область,,от 50000,50000.0,60000.0,Вахтовый метод,Монтажник,Производство
"<br/><p>МК и ЖБК</p><b>Условия:</b><ul><li><p>Оформление по ТК РФ (трудовой договор получаете на руки в офисе), отчисления в ПФР.<br /> Выплата больничных и отпускных.<br />  Честная зарплата без скрытых вычетов.<br />  Прямой работодатель.<br />  Принимаем без опыта работы.<br />  Проводим бесплатное обучение.<br /><br />  Каждому сотруднику бесплатно предоставляется:<br /> • Организованный проезд от дома до объекта и обратно;<br /> • Медицинский осмотр;<br /> • Спецодежда и обувь на весь период работы;<br /> • Средства индивидуальной защиты;<br /> • Проживание в общежитии;<br /> • Организованное питание;<br /> • Инструмент для выполнения прямых рабочих обязанностей;<br /> • Гарантируемые авансы каждые 2 недели.<br /> Срок вахты - 60 дней, 11-часовой рабочий день, скользящий выходной по графику, межвахтовый отпуск до 30 дней.<br /><br /> Звоните! У нас всегда есть вакансии для Вас!</p></li></ul>",Полная занятость,,Не указано,,,,<li>Желателен опыт работы<br /></li>,"<li><p>Монтажные работы.  Вязка арматуры,  бетонные работы.<br /></p></li>",Челябинская область,,от 50000,50000.0,60000.0,Вахтовый метод,Монтажник,Производство
"<br/><p>МК и ЖБК</p><b>Условия:</b><ul><li><p>Оформление по ТК РФ (трудовой договор получаете на руки в офисе), отчисления в ПФР.<br /> Выплата больничных и отпускных.<br />  Честная зарплата без скрытых вычетов.<br />  Прямой работодатель.<br />  Принимаем без опыта работы.<br />  Проводим бесплатное обучение.<br /><br />  Каждому сотруднику бесплатно предоставляется:<br /> • Организованный проезд от дома до объекта и обратно;<br /> • Медицинский осмотр;<br /> • Спецодежда и обувь на весь период работы;<br /> • Средства индивидуальной защиты;<br /> • Проживание в общежитии;<br /> • Организованное питание;<br /> • Инструмент для выполнения прямых рабочих обязанностей;<br /> • Гарантируемые авансы каждые 2 недели.<br /> Срок вахты - 60 дней, 11-часовой рабочий день, скользящий выходной по графику, межвахтовый отпуск до 30 дней.<br /><br /> Звоните! У нас всегда есть вакансии для Вас!</p></li></ul>",Полная занятость,,Не указано,,,,<li>Желателен опыт работы<br /></li>,"<li><p>Монтажные работы.  Вязка арматуры,  бетонные работы.<br /></p></li>",Челябинская область,,от 50000,50000.0,60000.0,Вахтовый метод,Монтажник,Производство
"<br/><p>МК и ЖБК</p><b>Условия:</b><ul><li><p>Оформление по ТК РФ (трудовой договор получаете на руки в офисе), отчисления в ПФР.<br /> Выплата больничных и отпускных.<br />  Честная зарплата без скрытых вычетов.<br />  Прямой работодатель.<br />  Принимаем без опыта работы.<br />  Проводим бесплатное обучение.<br /><br />  Каждому сотруднику бесплатно предоставляется:<br /> • Организованный проезд от дома до объекта и обратно;<br /> • Медицинский осмотр;<br /> • Спецодежда и обувь на весь период работы;<br /> • Средства индивидуальной защиты;<br /> • Проживание в общежитии;<br /> • Организованное питание;<br /> • Инструмент для выполнения прямых рабочих обязанностей;<br /> • Гарантируемые авансы каждые 2 недели.<br /> Срок вахты - 60 дней, 11-часовой рабочий день, скользящий выходной по графику, межвахтовый отпуск до 30 дней.<br /><br /> Звоните! У нас всегда есть вакансии для Вас!</p></li></ul>",Полная занятость,,Не указано,,,,<li>Желателен опыт работы<br /></li>,"<li><p>Монтажные работы.  Вязка арматуры,  бетонные работы.<br /></p></li>",Челябинская область,,от 50000,50000.0,60000.0,Вахтовый метод,Монтажник,Производство
"<br/><p>МК и ЖБК</p><b>Условия:</b><ul><li><p>Оформление по ТК РФ (трудовой договор получаете на руки в офисе), отчисления в ПФР.<br /> Выплата больничных и отпускных.<br />  Честная зарплата без скрытых вычетов.<br />  Прямой работодатель.<br />  Принимаем без опыта работы.<br />  Проводим бесплатное обучение.<br /><br />  Каждому сотруднику бесплатно предоставляется:<br /> • Организованный проезд от дома до объекта и обратно;<br /> • Медицинский осмотр;<br /> • Спецодежда и обувь на весь период работы;<br /> • Средства индивидуальной защиты;<br /> • Проживание в общежитии;<br /> • Организованное питание;<br /> • Инструмент для выполнения прямых рабочих обязанностей;<br /> • Гарантируемые авансы каждые 2 недели.<br /> Срок вахты - 60 дней, 11-часовой рабочий день, скользящий выходной по графику, межвахтовый отпуск до 30 дней.<br /><br /> Звоните! У нас всегда есть вакансии для Вас!</p></li></ul>",Полная занятость,,Не указано,,,,<li>Желателен опыт работы<br /></li>,"<li><p>Монтажные работы.  Вязка арматуры,  бетонные работы.<br /></p></li>",Челябинская область,,от 50000,50000.0,60000.0,Вахтовый метод,Монтажник,Производство
